Iteration	Posterior	Likelihood	Prior	extirpation_rate	rate_bg
1020	-2148.44	-2136.711	-11.72917	9.76091	0.01625604
1030	-2150.651	-2135.639	-15.01205	13.23419	0.01422576
1040	-2148.783	-2133.994	-14.78912	12.89667	0.01543191
1050	-2150.583	-2139.377	-11.20569	9.226072	0.01740447
1060	-2148.619	-2136.716	-11.90304	10.0035	0.01488823
1070	-2148.216	-2134.117	-14.0984	12.13045	0.01574547
1080	-2149.171	-2134.997	-14.17317	12.13347	0.01691938
1090	-2149.026	-2133.936	-15.09068	13.22247	0.0155516
1100	-2148.816	-2133.923	-14.89287	12.99611	0.0156425
1110	-2148.235	-2134.256	-13.97903	11.98193	0.01609227
1120	-2148.697	-2137.588	-11.10825	9.223205	0.01583967
1130	-2150.227	-2137.688	-12.53941	10.66898	0.01399573
1140	-2147.905	-2135.102	-12.80307	10.80151	0.01590591
1150	-2149.608	-2134.478	-15.12948	13.18902	0.01665821
1160	-2148.838	-2137.865	-10.97328	9.127229	0.01542492
1170	-2149.234	-2134.284	-14.94919	13.00055	0.01648234
1180	-2148.45	-2134.688	-13.76206	11.7294	0.01651066
1190	-2148.719	-2136.437	-12.28138	10.24786	0.01676384
1200	-2148.162	-2136.014	-12.1472	10.20904	0.01527241
1210	-2148.723	-2135.891	-12.83201	10.90961	0.01466858
1220	-2148.389	-2134.192	-14.1968	12.26229	0.01534196
1230	-2148.225	-2135.661	-12.56417	10.62137	0.01506732
1240	-2148.354	-2136.784	-11.56958	9.634507	0.01590878
1250	-2148.741	-2134.001	-14.74024	12.84305	0.01543112
1260	-2148.492	-2137.1	-11.3918	9.501302	0.01542125
1270	-2148.056	-2135.514	-12.54193	10.53117	0.01617617
1280	-2148.701	-2134.141	-14.55967	12.5899	0.01625121
1290	-2150.456	-2136.742	-13.71368	11.85251	0.01397017
1300	-2148.178	-2135.907	-12.27085	10.33135	0.01519365
1310	-2148.063	-2135.071	-12.99191	10.96661	0.01624715
1320	-2149.921	-2134.88	-15.04016	13.07011	0.01695306
1330	-2150.272	-2135.735	-14.53731	12.49213	0.01739814
1340	-2149.648	-2134.035	-15.61291	13.82194	0.01545642
1350	-2149.267	-2137.316	-11.9509	9.923307	0.01702219
1360	-2148.281	-2134.574	-13.70783	11.68358	0.01634889
1370	-2151.457	-2134.726	-16.731	15.17132	0.01518783
1380	-2149.101	-2138.318	-10.78327	8.970162	0.01525553
1390	-2150.001	-2134.16	-15.84132	14.09583	0.01533447
1400	-2148.665	-2137.1	-11.56464	9.602817	0.01639058
1410	-2147.891	-2135.089	-12.80259	10.81864	0.01562286
1420	-2149.417	-2134.957	-14.45965	12.43631	0.01695599
1430	-2147.975	-2135.2	-12.77483	10.80714	0.01537429
1440	-2147.88	-2134.948	-12.93236	10.93867	0.01574654
1450	-2148.377	-2134.02	-14.35715	12.40465	0.01576249
1460	-2150.206	-2134.981	-15.22526	13.27281	0.01700952
1470	-2147.899	-2135.261	-12.63747	10.64999	0.01574238
1480	-2147.954	-2134.534	-13.41911	11.41853	0.0158702
1490	-2149.797	-2134.038	-15.75915	13.9808	0.01559284
1500	-2151.204	-2134.813	-16.39138	14.65454	0.01656742
1510	-2149.493	-2137.956	-11.5367	9.544531	0.0169949
1520	-2149.665	-2134	-15.66505	13.86639	0.01566767
1530	-2148.575	-2136.428	-12.14767	10.23618	0.01484775
1540	-2149.891	-2135.628	-14.26326	12.40844	0.01429932
1550	-2147.913	-2135.022	-12.89056	10.9118	0.01551842
1560	-2148.848	-2135.163	-13.68469	11.62824	0.01685736
1570	-2148.302	-2134.294	-14.00845	12.00647	0.01618934
1580	-2149.018	-2138.182	-10.83571	8.974842	0.01599091
1590	-2149.864	-2134.883	-14.98112	13.00462	0.01695466
1600	-2148.22	-2136.115	-12.10569	10.11302	0.01622166
1610	-2147.916	-2134.744	-13.17206	11.16722	0.01590406
1620	-2148.397	-2135.574	-12.82296	10.8856	0.01489471
1630	-2148.383	-2134.271	-14.11199	12.11288	0.01622874
1640	-2148.223	-2134.156	-14.06688	12.08463	0.0159341
1650	-2150.122	-2134.752	-15.3698	13.44636	0.01684606
1660	-2148.694	-2135.412	-13.2825	11.35681	0.01471258
1670	-2148.543	-2136.318	-12.22477	10.20294	0.01661101
1680	-2148.442	-2137.039	-11.40278	9.490611	0.015777
1690	-2149.699	-2139.153	-10.54653	8.701187	0.01643111
1700	-2148.445	-2133.992	-14.4536	12.51141	0.01571732
1710	-2147.92	-2135.273	-12.64627	10.67056	0.01554894
1720	-2148.235	-2136.515	-11.72001	9.778041	0.01581076
1730	-2149.256	-2134.196	-15.05988	13.12974	0.01638711
1740	-2148.709	-2137.591	-11.11814	9.255824	0.0154208
1750	-2149.212	-2135.295	-13.91773	11.85863	0.01703183
1760	-2149.613	-2134.831	-14.78191	12.94708	0.01463547
1770	-2150.037	-2137.048	-12.98835	11.10671	0.01406082
1780	-2148.048	-2134.762	-13.28696	11.26528	0.01618074
1790	-2149.696	-2139.429	-10.26667	8.486757	0.0159816
1800	-2148.949	-2135.609	-13.33932	11.4244	0.01456871
1810	-2150.949	-2134.717	-16.23122	14.46355	0.01656835
1820	-2148.143	-2136.114	-12.02883	10.09044	0.01538692
1830	-2149.005	-2136.844	-12.16033	10.2663	0.01456682
1840	-2148.752	-2137.165	-11.58716	9.709568	0.01491511
1850	-2148.301	-2134.074	-14.22742	12.275	0.01563109
1860	-2148.435	-2136.966	-11.4691	9.541213	0.01594221
