generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2400000,35,-1.43638,-3250.25,47.545,0.501
2420000,28,-1.71961,-3241.05,35.0151,0.44625
2440000,28,1.42301,-3253.67,25.9017,0.45
2460000,28,8.51385,-3240.66,33.6469,0.465
2480000,31,-1.30306,-3252.94,32.4575,0.461
2500000,21,-1.20919,-3259.66,28.7009,0.428
2520000,30,-4.76323,-3259.57,37.9614,0.4835
2540000,27,7.94946,-3252,24.1579,0.437
2560000,33,4.88402,-3243.56,32.1151,0.457
2580000,18,0.303397,-3268.45,24.1708,0.448348
2600000,24,1.5762,-3251.19,18.6569,0.432667
2620000,26,3.30837,-3267.28,31.9232,0.461667
2640000,31,6.88831,-3257.64,28.4933,0.4625
2660000,26,0.914261,-3246.29,22.2773,0.464
2680000,39,-3.88095,-3248.83,39.6075,0.46875
2700000,41,-9.95119,-3236.98,60.8595,0.461
2720000,35,-0.166067,-3239.25,30.782,0.472
2740000,38,-3.51012,-3244.39,32.5004,0.466
2760000,26,5.38026,-3254.41,29.6904,0.460333
2780000,28,-1.39556,-3235.05,43.2435,0.405
2800000,42,-6.16599,-3228.85,40.6162,0.463
2820000,33,-4.27669,-3234.89,28.0675,0.473
2840000,32,9.60963,-3245.85,25.4573,0.451667
2860000,28,1.18462,-3257.59,21.205,0.473
2880000,41,5.86837,-3241.25,30.1246,0.488
2900000,33,2.56884,-3228.6,35.0896,0.395
2920000,24,10.8155,-3259.8,17.3573,0.461
2940000,26,9.75551,-3243.21,33.9795,0.449
2960000,23,2.3276,-3248.51,20.199,0.435
2980000,23,3.57544,-3249.46,20.0927,0.456
3000000,33,0.40367,-3261.16,34.1004,0.457
3020000,27,-3.73639,-3245.62,30.6104,0.444
3040000,26,-1.61638,-3240.28,28.2759,0.405
3060000,24,-6.53588,-3245.59,25.5063,0.44975
3080000,22,7.63162,-3246.22,25.5293,0.4625
3100000,36,1.40052,-3246.3,42.3985,0.467429
3120000,26,1.25432,-3252.71,28.3558,0.443
3140000,28,-10.6367,-3256.77,46.395,0.472
3160000,29,4.23361,-3249.95,28.8433,0.444
3180000,27,-2.47636,-3259.04,23.6134,0.462
3200000,26,-10.3108,-3240.38,30.2053,0.45
3220000,28,6.99278,-3240.68,30.7005,0.4515
3240000,25,-2.3508,-3266.05,28.2026,0.417
3260000,33,-1.82731,-3246.76,21.3903,0.4195
3280000,23,3.28841,-3247.79,21.2272,0.439
3300000,33,0.498698,-3253.65,35.5981,0.4445
3320000,23,1.54383,-3259.62,29.0387,0.457619
3340000,33,-0.908632,-3270.79,40.6874,0.439
3360000,25,4.68376,-3266,24.6487,0.45875
3380000,27,-1.76568,-3257.73,26.716,0.4305
3400000,30,-6.16881,-3243.54,41.4999,0.4724
3420000,32,-17.7012,-3229.31,31.5924,0.44
3440000,32,-0.118818,-3229.76,42.3202,0.423
3460000,26,2.60272,-3227.5,35.3161,0.421
3480000,26,6.61385,-3236.99,27.9887,0.4595
3500000,28,3.53468,-3261.1,21.9381,0.470059
3520000,27,-4.87373,-3238.53,33.533,0.456667
3540000,32,7.09661,-3246.51,41.1941,0.451
3560000,24,-4.09468,-3256.81,33.9887,0.4445
3580000,31,9.569,-3245.95,38.9142,0.456833
3600000,27,3.37521,-3251.96,29.734,0.433
3620000,28,1.47,-3232.32,28.2105,0.465
3640000,27,4.01114,-3245.6,18.2962,0.475167
3660000,24,6.56047,-3245.49,31.7984,0.454
3680000,29,1.66758,-3236.55,23.2288,0.464
3700000,20,1.2177,-3278.9,20.6073,0.457
3720000,20,-12.8299,-3274.19,16.3626,0.4722
3740000,28,2.25819,-3236.88,33.0961,0.461
3760000,22,-1.26434,-3291.3,16.4112,0.477
3780000,21,-1.21424,-3259.25,32.9717,0.455
3800000,30,3.45791,-3232.53,27.9966,0.445
3820000,32,7.51074,-3219.74,34.1654,0.436
3840000,29,-1.8352,-3251.28,29.0105,0.451778
3860000,25,1.9639,-3243.35,19.8774,0.446333
3880000,30,6.32733,-3251.1,25.3433,0.447333
3900000,33,6.88615,-3238.32,29.1978,0.459
3920000,26,0.15923,-3249.54,24.8735,0.451667
3940000,33,-4.18447,-3250.02,32.3628,0.435
3960000,40,-6.59861,-3228.01,43.2633,0.457
3980000,39,2.06059,-3263.06,40.6886,0.471
4000000,40,-5.49439,-3232.51,38.7292,0.473667
4020000,24,-0.18924,-3265.84,24.9857,0.4375
4040000,36,-12.3631,-3251.69,39.2842,0.486
4060000,32,5.31491,-3238.75,27.833,0.49
4080000,31,-0.42329,-3229.1,40.7084,0.445
4100000,25,-1.39494,-3252.29,31.9437,0.454
4120000,25,-4.74984,-3248.97,18.8979,0.4406
4140000,37,-9.07254,-3241.43,31.7276,0.479
4160000,22,-2.22885,-3261.71,19.1735,0.426
4180000,22,1.44509,-3265.6,33.7177,0.409
4200000,27,9.74807,-3264.65,31.4225,0.455875
4220000,28,-5.45178,-3261.53,18.9792,0.464
4240000,28,-1.60967,-3259.54,32.9972,0.47
4260000,18,2.00277,-3271.65,18.0869,0.4345
4280000,23,6.04989,-3261.07,21.4795,0.444
4300000,26,4.82202,-3255.66,21.8452,0.4415
4320000,33,5.51773,-3246.44,29.7416,0.479
4340000,24,7.36388,-3263.77,24.5858,0.438333
4360000,30,1.70945,-3237.38,31.4388,0.415
4380000,31,-2.59953,-3241.69,28.7206,0.473
4400000,30,-4.719,-3242.05,34.588,0.453
4420000,37,-5.86942,-3242.53,31.3367,0.488
4440000,25,7.78796,-3249.6,23.4928,0.399
4460000,36,4.80064,-3231.43,44.7292,0.441
4480000,34,6.00101,-3249.92,33.4486,0.466
4500000,22,-7.28452,-3281.32,28.4272,0.472316
4520000,21,-11.7503,-3280.99,29.1069,0.464
4540000,29,-5.14869,-3281.92,20.6559,0.460579
4560000,20,5.05952,-3275.44,30.8543,0.471
4580000,24,1.07099,-3249.32,21.5538,0.425
4600000,22,6.0713,-3273.95,23.0707,0.451378
4620000,25,0.909785,-3241.82,29.1765,0.449
4640000,19,-4.32645,-3261.89,16.1041,0.447
4660000,25,3.08168,-3248.59,32.7394,0.4705
4680000,22,-3.69602,-3267.34,22.3839,0.479
4700000,26,-3.58892,-3266.5,20.3431,0.478
4720000,29,-3.06256,-3265.25,26.4339,0.447571
4740000,28,0.825118,-3244.91,20.7081,0.464
4760000,32,-0.787401,-3264.92,28.0031,0.482
4780000,25,-4.23536,-3291.43,23.7636,0.458
4800000,21,-3.01032,-3260.5,22.6458,0.451
4820000,21,0.452426,-3280.42,23.2054,0.458
4840000,21,4.27375,-3280.64,21.3138,0.469
4860000,28,-2.40027,-3241.52,27.7346,0.4678
4880000,20,-1.26948,-3262.84,19.9963,0.431667
4900000,26,-2.24815,-3244.47,17.7113,0.431714
4920000,22,1.4584,-3245.67,20.8576,0.4398
4940000,28,3.99627,-3242.88,35.3779,0.471
4960000,21,5.48532,-3272.11,17.9134,0.432
4980000,22,-2.65966,-3251.26,15.5767,0.456
5000000,21,-1.72864,-3261.83,23.4493,0.438
5020000,21,-2.29154,-3264.9,19.7754,0.443667
5040000,16,1.02641,-3280.75,22.3311,0.393
5060000,22,-2.96612,-3266.64,22.791,0.451
5080000,34,4.03861,-3246.28,42.7989,0.436
5100000,22,5.77974,-3267.32,24.2895,0.451333
5120000,29,3.33005,-3281.88,32.383,0.434286
5140000,32,6.22776,-3239.09,25.5093,0.458
5160000,19,5.73672,-3255.62,19.1347,0.416
5180000,25,3.44211,-3279.88,26.2538,0.48
5200000,34,3.4381,-3232.42,38.2797,0.485
5220000,22,-9.20329,-3247.8,21.6211,0.474182
5240000,30,-0.569854,-3240.57,25.2756,0.47
5260000,17,-0.416383,-3286.46,15.8587,0.458
5280000,27,4.01488,-3240.33,18.5947,0.4602
5300000,29,-11.3856,-3256.4,22.6385,0.465
5320000,22,-6.54756,-3256.87,21.2106,0.402
5340000,26,4.36281,-3254.2,24.5059,0.45025
5360000,33,-5.68225,-3227.17,27.7848,0.469762
5380000,34,11.1123,-3255.51,25.5981,0.462
5400000,27,-2.51106,-3243.98,25.9632,0.4585
5420000,26,-3.67312,-3250.72,22.9025,0.467
5440000,24,7.11899,-3244.54,27.0612,0.445
5460000,28,-6.72595,-3266.25,26.4233,0.4445
5480000,21,-4.06258,-3256.51,23.7128,0.423
5500000,30,-3.23428,-3258.24,22.5153,0.474
5520000,29,-0.726792,-3244.11,27.1234,0.453
5540000,31,-7.89382,-3235.53,29.9217,0.487
5560000,27,10.7907,-3265.66,36.125,0.4515
5580000,35,3.37946,-3238.04,43.3807,0.44
5600000,32,-2.21897,-3264.03,31.8232,0.463478
5620000,25,7.48328,-3252.36,27.904,0.446
5640000,33,-20.8539,-3236.83,25.9312,0.458417
5660000,29,-1.66852,-3240.83,37.5521,0.453
5680000,24,0.823935,-3252.64,31.1963,0.491
5700000,26,-4.03447,-3250.31,29.6052,0.436667
5720000,23,0.206831,-3240.17,22.3619,0.443
5740000,32,-2.13349,-3250.56,24.2498,0.47125
5760000,22,8.10128,-3277.34,12.806,0.456824
5780000,20,8.74545,-3279,23.6177,0.421375
5800000,22,9.52634,-3274.05,25.3205,0.459353
5820000,22,1.83696,-3248.32,14.8268,0.425
5840000,25,3.39306,-3257.72,19.2663,0.484
5860000,25,-1.2226,-3253.29,17.6981,0.452
5880000,31,0.393811,-3259.98,30.8886,0.47
5900000,26,0.431585,-3241.81,32.0032,0.472
5920000,34,5.05074,-3242.35,38.4825,0.432
5940000,18,-3.16009,-3278.19,23.1259,0.426
5960000,18,0.647062,-3285.54,15.9739,0.425
5980000,25,-4.80703,-3267.93,19.7402,0.476
6000000,24,1.28035,-3265.6,28.657,0.460571
6020000,33,-1.02011,-3244.38,45.3541,0.457
6040000,30,-5.16886,-3239.94,26.5663,0.451
6060000,25,-4.45621,-3241.39,26.7043,0.414
6080000,22,-6.214,-3253.68,17.9714,0.437462
6100000,26,-4.40278,-3244.97,24.2885,0.4615
6120000,26,7.51641,-3261.32,32.29,0.468048
6140000,28,-12.9159,-3243.39,21.9721,0.42925
6160000,31,7.40767,-3238.18,34.2741,0.475
6180000,25,-2.53572,-3253.71,31.4164,0.452
6200000,34,5.49427,-3249.72,44.4205,0.474
6220000,23,3.6888,-3251.57,30.7875,0.456
6240000,32,9.3707,-3252.24,29.4067,0.462857
6260000,31,-1.59579,-3243.07,22.4179,0.452
6280000,24,4.56851,-3258.47,26.6969,0.441
6300000,27,5.04604,-3259.72,23.1048,0.464
6320000,33,-0.397888,-3257.66,28.0412,0.44
6340000,24,5.16219,-3231.54,22.7404,0.449
6360000,32,-2.37739,-3245.25,39.5511,0.46
6380000,31,5.31489,-3248.06,28.9915,0.466
6400000,31,-6.37121,-3263.95,27.4967,0.46
6420000,25,-4.72669,-3245.62,28.957,0.421
6440000,27,-3.02711,-3254.1,18.0507,0.456
6460000,22,-3.05001,-3263.05,32.6533,0.4445
6480000,26,1.40672,-3252.99,20.8372,0.454429
6500000,28,8.44962,-3241.33,22.8467,0.451
6520000,26,2.89749,-3236.8,27.7949,0.42
6540000,39,1.55401,-3243.82,39.8129,0.472
6560000,27,-4.88615,-3268.27,21.374,0.428769
6580000,29,-12.6564,-3263.34,27.0594,0.449714
6600000,17,6.98922,-3290.44,12.7606,0.432478
6620000,28,-0.987327,-3250.39,26.6825,0.4445
6640000,21,5.47361,-3250.74,15.2428,0.391
6660000,27,-0.0788164,-3255.23,34.005,0.471
6680000,23,4.91373,-3262.16,25.5032,0.465
6700000,22,0.524244,-3247.18,25.6181,0.44
